Thema;Insgesamt;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826
Natur;19;0;2;1;1;0;1;0;0;1;0;1;2;0;0;0;0;1;0;0;0;2;2;2;0;0;0;3
Ermahnung, Zuspruch, Trost;18;1;0;0;0;0;0;1;0;0;1;2;1;0;1;0;0;0;0;0;0;2;3;4;0;0;2;0
Geschäftliches;17;0;0;0;1;1;1;1;0;0;3;1;0;0;2;2;0;0;2;2;0;0;1;0;0;0;0;0
Stimulantien;16;0;1;9;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Jean Pauls Werke;15;0;0;4;1;1;1;0;1;0;2;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0
Bittschreiben;15;0;0;0;0;0;1;2;0;0;2;1;0;2;0;0;0;1;1;0;1;3;1;0;0;0;0;0
Jean Pauls Alltag;13;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;1;0;0
Jean Paul-Verehrung;13;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;6
Ernährung;12;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0
Musik;10;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;3;0;0;0;1;0;0
Fahrzeuge;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;1;0;0;0
Dessauer Familienstipendium;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;3;0;0;0;0;0
Entschuldigung;5;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Alter;5;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Selbstdarstellungen;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3
Nachruhm Jean Pauls;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
Einladungen;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;4;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Freude und Begeisterung;4;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wissenschaft;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
Geographisches, Landschaftsbeschreibungen;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Träume;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Willkommensschreiben;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angst und Sorge;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Philosophisches;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Humor, Satire;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Intellektuelle;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
